test_testerloop_post_body_limit_2026_09_20.py	1	2	0	1	
test_testerloop_sig_missing_2026_09_24.py	0	0	0	0	
test_testerloop_rawint_exn_2026_09_22.py	1	3	3	0	/api/workroom/tasks error is not a raw Python exception string|/api/swarm/snapshot error is not a raw Python exception string|/api/swarm/journal error is not a raw Python exception string|
test_testerloop_search_q_500_2026_09_24.py	0	0	0	0	
test_testerloop_xff_direct_2026_09_22.py	0	4	0	0	
test_testerloop_react_login_budget_burn_2026_09_24.py	0	4	0	0	
test_tidepal_depth.py	0	99	0	0	
test_tidepal_social.py	0	68	0	0	
test_tidepal_homepage.py	1	2	1	0	pet-promo section present|
test_tidepal_social_routes.py	1	26	2	0	showcase 200 301|showcase lists pets <!doctype html>|
test_upload_atomic_2026_09_23.py	0	10	0	0	
test_tidepal_world.py	1	101	0	1	
test_triage_route.py	0	19	0	0	
test_ui_fixes_2026_09_18.py	1	0	0	1	
test_trustline_bridge.py	0	23	0	0	
test_upload_audio_mimetype_2026_09_18.py	1	0	0	1	
test_uploads.py	1	0	0	1	
test_video.py	1	57	1	1	sha256 mismatch -> 401|
test_video_comments.py	1	2	0	1	
test_workroom.py	1	17	2	1	human signup 200 — 400|human login redirects — 401|
test_vote_stress.py	0	9	0	0	
test_workroom_bridge.py	1	0	0	1	
test_workroom_agent_loop.py	0	5	0	0	
test_workroom_private.py	1	5	0	1	
test_workroom_pilot.py	1	50	5	0	human signup ok — 400|human login redirects — 401|session cookie auth works (no bearer) — {"error":"pilot auth required: Bearer key or login session","ok":false}|human web create -> 302 to detail — 302 /login?next=/workroom/pilot/tasks|bad csrf -> back to queue with flash — 302|
